Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
28.0,4.0,2022,0,4,233.44,332.7,56.12,38.75,1.49,75.73,387.0
1.0,11.0,2024,0,5,126.23,336.84,29.76,43.65,0.83,32.24,275.0
7.0,6.0,2024,0,5,79.87,283.4,27.39,33.96,0.72,73.87,214.0
27.0,12.0,2022,0,2,69.44,254.83,34.94,6.17,1.5,38.39,249.0
2.0,1.0,2024,0,2,76.61,290.95,26.95,22.19,0.64,20.15,259.0
2.0,6.0,2022,0,4,104.49,251.95,38.95,8.54,0.48,42.6,229.0
21.0,6.0,2022,0,2,52.93,110.84,12.48,12.26,0.84,38.12,120.0
1.0,4.0,2021,0,4,62.95,278.87,40.55,28.06,0.88,62.68,231.0
5.0,12.0,2024,0,4,49.4,193.15,45.35,58.44,0.77,40.96,155.0
13.0,12.0,2021,0,1,310.74,508.8,29.58,3.52,2.34,15.02,397.0
17.0,5.0,2021,0,1,99.12,211.16,77.57,6.99,1.5,19.69,203.0
3.0,6.0,2023,0,6,39.18,127.29,21.02,8.05,0.93,31.07,100.0
23.0,6.0,2023,0,5,46.09,135.16,12.48,15.29,0.57,24.79,114.0
23.0,1.0,2021,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362.0
10.0,11.0,2022,0,4,91.48,378.56,47.81,9.09,1.96,36.72,315.0
28.0,10.0,2022,0,5,270.56,419.52,43.54,14.2,2.16,25.35,392.0
16.0,5.0,2021,1,7,69.96,131.21,51.09,6.72,0.91,50.72,177.0
27.0,3.0,2023,0,1,40.53,140.52,20.78,40.18,0.69,97.65,186.0
29.0,5.0,2024,0,3,103.57,231.0,28.57,31.59,0.66,32.63,229.0
7.0,11.0,2022,0,1,233.5,434.82,23.61,2.35,1.65,23.87,368.0
6.0,12.0,2022,0,2,120.08,330.43,43.04,4.02,0.96,31.53,316.0
18.0,3.0,2024,0,1,88.8,246.58,28.33,22.4,0.75,34.18,217.0
13.0,11.0,2024,0,3,138.22,428.21,30.1,64.18,1.06,23.7,369.0
19.0,5.0,2021,0,3,38.92,42.26,29.65,5.05,0.48,41.58,72.0
21.0,6.0,2024,0,5,75.64,182.23,52.63,33.03,1.11,52.8,163.0
10.0,11.0,2023,0,5,62.15,188.34,34.14,23.7,1.14,8.24,270.0
31.0,7.0,2021,0,6,37.02,80.5,20.07,6.39,0.81,28.98,55.0
16.0,12.0,2024,0,1,161.17,563.32,72.29,60.66,2.22,29.15,390.0
25.0,9.0,2023,0,1,41.91,129.0,28.2,19.36,0.76,71.91,103.0
30.0,1.0,2024,0,2,77.87,287.31,28.29,20.94,1.16,26.72,295.0
16.0,8.0,2021,0,1,40.98,134.95,20.99,7.28,0.48,57.5,115.0
17.0,2.0,2024,0,6,65.88,265.95,42.98,23.5,0.7,30.16,220.0
17.0,11.0,2021,0,3,240.34,287.99,11.22,8.23,2.41,34.0,390.0
27.0,8.0,2022,0,6,33.02,94.33,15.09,25.82,0.36,51.27,92.0
25.0,2.0,2023,0,6,69.24,258.06,20.77,11.49,1.06,23.53,212.0
12.0,2.0,2021,0,5,240.74,352.71,109.33,3.8,1.96,30.18,310.0
20.0,12.0,2023,0,3,119.99,308.74,78.74,21.0,1.28,32.81,238.0
11.0,12.0,2023,0,1,89.85,332.01,66.1,20.25,1.06,30.63,280.0
4.0,5.0,2023,0,4,66.77,134.46,14.95,13.4,0.83,60.49,217.0
22.0,11.0,2022,0,2,62.41,245.34,57.42,9.96,0.8,14.4,203.0
1.0,5.0,2023,0,1,26.0,70.05,17.65,12.49,0.59,37.36,84.0
16.0,9.0,2024,1,1,32.06,135.17,42.69,39.29,0.48,22.25,110.0
26.0,11.0,2022,0,6,77.94,360.48,66.49,11.4,1.12,17.97,296.0
7.0,10.0,2022,0,5,11.91,29.62,6.3,10.34,0.39,5.7,35.0
2.0,1.0,2021,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482.0
10.0,3.0,2023,0,5,64.79,242.72,15.71,10.78,0.92,45.41,190.0
7.0,12.0,2023,0,4,92.19,364.13,52.06,20.14,1.59,27.74,302.0
3.0,3.0,2023,0,5,39.39,145.22,11.32,8.96,0.46,43.52,137.0
6.0,8.0,2022,0,6,37.25,88.15,6.57,26.54,0.7,54.73,88.0
23.0,11.0,2024,0,6,127.97,454.23,51.62,55.13,2.07,30.12,394.0
21.0,3.0,2022,0,1,146.2,257.8,28.46,13.77,1.4,4.89,244.0
13.0,2.0,2022,1,7,128.11,234.49,23.96,7.23,1.22,24.86,261.0
1.0,1.0,2024,0,1,71.18,288.33,24.09,21.92,0.74,19.3,244.0
23.0,9.0,2021,0,4,33.85,68.68,32.63,8.31,0.34,10.3,61.0
5.0,12.0,2022,0,1,186.49,400.31,46.1,5.88,1.27,34.63,324.0
27.0,5.0,2023,0,6,23.45,59.37,27.6,7.1,0.94,44.46,48.0
21.0,4.0,2024,1,7,51.68,136.82,4.82,28.32,0.49,104.63,131.0
15.0,9.0,2022,0,4,19.67,23.61,4.82,6.81,0.33,57.35,62.0
11.0,10.0,2021,0,1,79.17,207.03,46.88,8.22,1.78,36.23,168.0
19.0,10.0,2022,0,3,42.35,310.08,5.64,12.1,2.97,14.83,74.0
30.0,11.0,2023,0,4,126.58,418.63,48.89,22.55,1.9,8.63,372.0
20.0,8.0,2023,1,7,34.33,79.69,37.0,19.75,0.6,19.63,90.0
5.0,2.0,2024,0,1,37.31,142.31,22.29,21.72,0.49,26.81,136.0
28.0,5.0,2022,0,6,81.46,210.55,37.16,20.91,1.27,17.39,178.0
30.0,4.0,2021,0,5,187.38,445.59,11.65,23.63,0.77,35.28,346.0
16.0,9.0,2021,0,4,41.28,75.33,39.2,3.85,1.22,22.11,95.0
1.0,12.0,2023,0,5,96.97,337.64,41.15,19.67,1.23,8.98,271.0
3.0,8.0,2021,0,2,33.9,53.49,23.08,13.88,0.54,13.18,54.0
16.0,5.0,2022,1,1,128.94,324.32,2.59,16.86,0.76,35.91,265.0
19.0,7.0,2022,0,2,41.44,124.01,18.95,23.48,0.74,76.73,124.0
11.0,12.0,2024,0,3,56.3,223.56,41.92,59.27,0.87,26.55,171.0
10.0,6.0,2022,0,5,103.64,341.46,12.01,7.56,0.66,41.17,293.0
2.0,6.0,2021,0,3,61.13,124.94,39.91,5.03,0.77,28.9,132.0
15.0,12.0,2021,0,3,220.34,383.87,20.51,3.95,1.3,16.78,381.0
6.0,7.0,2024,0,6,14.74,123.29,46.63,35.41,0.78,30.36,64.0
24.0,11.0,2021,0,3,278.41,370.8,14.12,9.13,3.88,40.12,398.0
24.0,2.0,2021,0,3,243.42,420.65,111.14,6.47,2.78,27.42,350.0
22.0,7.0,2023,0,6,42.61,98.1,29.04,16.83,0.55,29.92,108.0
21.0,1.0,2024,1,7,72.57,257.14,30.47,21.56,0.96,27.35,271.0
21.0,1.0,2023,0,6,217.29,342.69,19.29,6.89,1.5,10.49,305.0
31.0,3.0,2023,0,5,45.4,46.32,22.18,25.44,0.61,72.83,97.0
15.0,9.0,2021,0,3,35.11,79.59,40.22,3.59,0.89,26.56,71.0
15.0,6.0,2021,0,2,36.99,119.58,65.44,9.02,0.51,29.73,97.0
3.0,9.0,2024,0,2,24.91,94.23,42.87,45.7,0.6,17.86,98.0
9.0,11.0,2024,0,6,120.56,388.44,46.41,63.04,1.19,32.24,319.0
5.0,2.0,2021,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142.0
2.0,1.0,2023,0,1,202.79,297.92,11.52,3.08,1.17,48.45,327.0
1.0,4.0,2022,0,5,99.98,245.53,37.06,10.11,0.44,47.41,214.0
26.0,1.0,2021,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369.0
2.0,7.0,2021,0,5,64.92,291.96,35.87,7.4,0.62,31.75,280.0
3.0,12.0,2023,1,7,85.65,318.97,41.45,19.87,1.39,4.83,257.0
14.0,1.0,2023,0,6,146.21,237.45,6.72,4.05,0.65,19.31,337.0
15.0,2.0,2023,0,3,55.56,194.39,14.0,8.79,0.8,22.91,161.0
23.0,8.0,2023,0,3,25.07,65.15,32.9,19.35,0.68,18.36,65.0
23.0,11.0,2023,0,4,131.55,467.33,212.77,23.67,2.09,10.71,378.0
9.0,10.0,2022,1,7,9.39,13.07,3.09,10.57,0.27,93.33,100.0
28.0,3.0,2024,0,4,70.45,157.24,19.36,23.82,0.59,51.82,138.0
19.0,3.0,2021,0,5,114.38,311.33,42.18,4.77,0.76,27.42,298.0
2.0,4.0,2024,0,2,74.54,181.94,9.52,25.85,0.65,42.76,145.0
7.0,3.0,2023,0,2,47.4,181.31,15.67,9.98,0.73,43.35,159.0
23.0,5.0,2021,1,7,157.53,474.62,35.79,5.42,0.41,44.67,297.0
14.0,7.0,2024,1,7,33.96,108.45,49.54,36.35,1.01,40.7,97.0
11.0,5.0,2023,0,4,107.38,316.22,56.76,34.72,1.97,54.94,221.0
24.0,3.0,2022,0,4,115.45,314.89,16.62,13.65,1.82,5.84,272.0
21.0,5.0,2023,1,7,71.94,263.68,27.99,18.7,1.73,9.38,233.0
17.0,3.0,2024,1,7,81.21,218.49,27.77,22.2,0.69,34.98,179.0
24.0,4.0,2024,0,3,106.91,194.36,7.55,28.96,0.9,86.02,214.0
4.0,9.0,2024,0,3,13.79,48.6,43.45,51.25,0.61,16.85,66.0
8.0,7.0,2023,0,6,27.75,50.73,6.2,3.07,0.56,35.01,62.0
31.0,3.0,2024,1,7,81.63,198.64,7.14,26.14,0.93,58.41,222.0
27.0,1.0,2022,0,4,124.59,164.06,9.58,8.3,1.57,29.45,279.0
1.0,10.0,2021,0,5,56.87,137.83,38.56,9.12,1.24,14.74,108.0
5.0,2.0,2022,0,6,106.6,214.4,22.33,11.45,0.81,25.75,196.0
25.0,5.0,2021,0,2,51.73,124.95,42.21,6.34,0.36,65.92,122.0
20.0,9.0,2023,0,3,29.74,97.33,30.28,19.12,0.75,56.04,83.0
17.0,1.0,2021,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342.0
25.0,11.0,2024,0,1,132.24,459.87,36.21,57.61,1.45,34.92,365.0
28.0,1.0,2021,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373.0
5.0,6.0,2024,0,3,174.68,385.98,26.75,33.55,0.84,61.52,287.0
3.0,9.0,2022,0,6,36.98,103.85,8.72,5.73,0.43,47.55,106.0
1.0,2.0,2021,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400.0
30.0,10.0,2022,1,7,257.61,434.04,39.68,14.2,2.27,23.16,381.0
16.0,7.0,2022,0,6,33.54,56.96,19.12,23.66,0.46,77.79,87.0
24.0,2.0,2023,0,5,53.33,199.38,15.74,8.51,0.88,24.37,157.0
30.0,7.0,2023,1,7,26.99,66.07,23.48,15.51,0.4,30.63,60.0
3.0,3.0,2021,0,3,131.63,264.11,36.28,10.91,1.0,37.3,259.0
17.0,4.0,2022,1,7,130.14,251.29,11.44,10.19,0.94,44.14,272.0
24.0,12.0,2021,0,5,414.69,671.99,33.35,4.28,2.7,12.8,473.0
9.0,12.0,2023,0,6,96.81,304.2,59.08,19.89,1.02,29.61,275.0
8.0,6.0,2024,0,6,63.06,240.76,27.02,35.63,0.77,75.39,232.0
17.0,4.0,2024,1,3,111.72,724.37,7.82,28.44,0.49,77.58,367.0
22.0,3.0,2023,0,3,40.24,153.93,17.03,10.33,0.72,41.36,122.0
28.0,1.0,2022,0,5,107.08,159.79,9.54,8.01,1.35,32.61,224.0
26.0,2.0,2024,0,1,53.72,208.96,43.78,25.87,0.5,30.47,161.0
3.0,10.0,2023,0,2,80.25,190.5,28.04,19.25,0.67,59.41,157.0
22.0,4.0,2023,1,6,35.33,150.97,12.71,46.52,0.48,104.03,143.0
15.0,6.0,2024,0,6,75.45,209.51,20.72,34.55,0.71,66.45,225.0
19.0,10.0,2021,1,2,48.43,81.37,27.97,7.93,0.81,35.42,49.0
20.0,11.0,2022,1,7,87.25,317.33,62.95,8.83,1.08,12.19,278.0
15.0,4.0,2022,1,5,82.38,177.24,8.2,5.59,0.55,39.99,190.0
26.0,1.0,2022,1,3,133.37,179.09,9.59,8.6,1.77,23.4,292.0
2.0,8.0,2022,0,2,36.22,385.15,9.02,26.32,0.45,53.86,216.0
24.0,10.0,2022,1,1,162.04,234.5,22.81,14.04,0.82,38.15,307.0
21.0,9.0,2021,0,2,33.1,70.33,8.45,1.93,1.02,13.28,89.0
11.0,10.0,2024,0,5,37.67,165.87,35.55,39.34,0.4,31.9,151.0
3.0,10.0,2022,0,1,25.56,114.08,9.11,10.01,0.44,13.73,107.0
27.0,5.0,2021,0,4,66.99,154.61,64.92,5.8,1.12,41.62,140.0
23.0,5.0,2024,1,4,75.15,154.37,31.13,30.25,1.08,28.01,158.0
8.0,9.0,2021,0,3,36.32,73.63,26.7,8.7,0.66,39.22,61.0
15.0,4.0,2021,0,4,97.54,286.71,60.28,22.82,1.58,42.53,235.0
13.0,10.0,2021,0,3,75.56,181.8,31.41,7.78,0.96,57.19,146.0
21.0,11.0,2022,0,1,74.62,271.87,56.62,9.34,0.9,12.89,246.0
21.0,8.0,2023,0,1,30.02,86.38,34.8,19.86,0.58,19.26,77.0
6.0,4.0,2023,0,4,46.4,131.03,20.26,44.46,0.45,64.31,126.0
6.0,10.0,2024,1,7,35.06,141.96,46.27,41.56,0.42,32.54,136.0
18.0,5.0,2023,0,4,41.0,116.13,14.55,19.14,0.8,100.25,251.0
11.0,7.0,2024,0,4,34.43,120.46,50.73,36.0,1.09,31.76,108.0
14.0,1.0,2021,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422.0
4.0,6.0,2022,0,6,106.85,264.14,37.23,15.24,0.79,55.16,255.0
3.0,4.0,2022,1,7,92.99,257.79,11.74,28.66,1.16,49.96,234.0
20.0,5.0,2024,0,1,158.03,366.53,30.4,33.13,0.54,36.09,279.0
27.0,4.0,2021,0,2,206.86,365.74,77.02,23.55,2.75,51.18,295.0
29.0,3.0,2022,0,2,138.58,350.07,10.27,19.08,1.69,6.08,287.0
22.0,3.0,2022,0,2,75.06,188.92,18.07,8.63,0.73,7.08,169.0
4.0,8.0,2023,0,5,29.34,87.98,26.31,19.08,0.37,27.78,96.0
31.0,1.0,2023,0,2,37.09,108.88,3.51,5.83,0.83,10.87,127.0
22.0,8.0,2023,0,2,29.66,85.73,26.72,20.11,0.57,19.26,86.0
24.0,6.0,2021,0,4,56.41,152.56,42.0,8.26,0.84,55.86,129.0
8.0,12.0,2021,0,3,135.38,243.35,22.68,3.51,1.05,16.77,266.0
12.0,4.0,2023,0,3,55.92,247.67,30.33,76.4,0.87,58.77,224.0
6.0,9.0,2023,0,3,35.52,115.27,44.79,19.12,0.7,54.67,112.0
12.0,3.0,2024,0,2,72.79,187.56,28.53,21.92,0.7,39.58,170.0
13.0,4.0,2022,0,3,174.31,390.53,9.89,11.29,1.57,11.37,323.0
18.0,7.0,2024,0,4,23.33,84.65,48.2,36.61,1.0,40.69,71.0
9.0,2.0,2021,0,2,226.95,332.06,149.74,4.89,1.89,27.91,385.0
30.0,5.0,2024,0,4,81.19,244.07,31.15,30.6,0.61,42.61,150.0
28.0,1.0,2023,0,6,86.36,211.73,8.74,7.04,0.87,14.72,157.0
2.0,2.0,2024,0,5,44.56,160.64,19.75,21.54,0.91,26.78,131.0
13.0,3.0,2023,0,1,61.01,284.61,16.59,19.71,1.0,48.47,232.0
12.0,4.0,2024,0,5,117.36,307.13,14.29,29.8,1.23,46.89,230.0
26.0,3.0,2023,1,7,42.63,167.52,24.96,37.87,0.71,97.89,154.0
20.0,9.0,2022,0,2,55.26,111.58,8.44,1.96,1.05,13.1,131.0
8.0,9.0,2023,0,5,21.6,66.25,30.29,19.27,0.59,44.78,76.0
8.0,11.0,2022,1,2,269.14,427.73,14.73,1.37,1.28,15.29,403.0
22.0,2.0,2021,0,1,206.34,334.88,107.27,3.83,2.07,34.37,352.0
12.0,6.0,2024,0,3,84.83,242.7,86.53,40.23,1.02,80.15,207.0
14.0,4.0,2021,1,3,73.31,234.69,56.01,18.07,1.41,42.58,214.0
24.0,6.0,2023,0,6,50.58,140.16,15.46,15.37,0.73,23.16,143.0
14.0,12.0,2022,0,3,54.45,189.7,42.03,5.71,0.64,35.61,161.0
16.0,10.0,2024,0,3,64.87,275.31,46.13,44.82,0.77,28.4,227.0
21.0,7.0,2021,1,3,40.55,75.73,41.05,8.58,1.27,40.19,65.0
29.0,7.0,2022,0,5,27.48,43.14,5.64,27.14,0.36,46.41,47.0
17.0,5.0,2022,0,2,99.59,220.11,2.16,12.65,0.79,63.21,206.0
18.0,10.0,2023,0,3,33.47,100.45,71.6,21.29,0.44,5.47,106.0
15.0,10.0,2022,0,6,36.46,190.7,3.84,10.79,0.65,20.99,138.0
2.0,8.0,2023,0,3,26.34,90.1,31.07,15.18,0.36,30.51,94.0
19.0,6.0,2023,0,1,23.99,61.81,31.49,16.07,0.65,28.74,62.0
13.0,4.0,2023,0,4,77.25,287.26,37.92,93.69,1.06,48.9,248.0
21.0,9.0,2024,0,6,28.07,134.54,39.37,40.61,0.54,36.27,110.0
24.0,9.0,2021,0,5,31.2,45.57,28.98,8.13,0.41,11.16,55.0
23.0,1.0,2022,1,7,112.86,128.02,9.59,7.93,1.56,20.27,220.0
8.0,9.0,2024,1,7,20.18,79.75,41.14,54.43,0.62,23.83,68.0
19.0,12.0,2023,0,2,70.92,265.39,63.48,20.82,1.05,31.85,229.0
22.0,6.0,2022,0,3,71.71,156.6,7.64,12.35,0.68,58.39,138.0
26.0,10.0,2022,0,3,147.07,246.48,24.65,14.14,1.17,30.55,285.0
5.0,1.0,2024,0,5,64.61,267.06,19.8,22.36,0.85,19.28,246.0
3.0,5.0,2023,0,3,34.71,105.14,15.47,13.66,0.85,37.69,104.0
31.0,12.0,2024,0,2,80.42,318.96,40.37,64.98,0.84,39.93,209.0
16.0,12.0,2023,0,6,121.69,314.24,85.96,20.95,1.58,36.87,247.0
25.0,3.0,2021,0,4,83.85,208.21,8.58,8.25,0.53,19.28,194.0
28.0,3.0,2023,0,2,48.11,171.35,29.31,40.72,0.83,87.93,178.0
25.0,6.0,2023,1,7,20.11,39.07,9.69,15.3,0.44,27.24,67.0
22.0,6.0,2021,0,2,51.51,159.71,38.19,8.02,0.67,38.95,108.0
10.0,4.0,2023,0,1,60.24,224.22,34.8,73.65,0.99,57.63,176.0
28.0,2.0,2024,0,3,37.13,148.66,35.62,25.76,0.45,29.88,144.0
6.0,4.0,2024,0,6,76.92,199.97,12.01,26.39,0.65,52.36,167.0
1.0,8.0,2021,1,7,45.89,59.77,19.15,9.89,0.88,18.48,99.0
11.0,6.0,2021,0,5,50.98,134.62,52.56,7.44,0.64,48.9,127.0
27.0,10.0,2023,0,5,87.06,262.27,5.8,20.46,0.97,20.71,165.0
13.0,1.0,2023,0,5,225.92,340.05,16.07,5.8,1.68,11.22,388.0
14.0,8.0,2023,0,1,32.64,115.39,34.87,19.79,0.46,32.34,112.0
16.0,6.0,2023,0,5,45.95,145.41,33.15,7.61,0.71,28.75,121.0
29.0,1.0,2023,1,7,108.45,274.83,18.08,6.67,1.83,2.7,255.0
13.0,8.0,2021,0,5,41.29,167.99,22.04,7.46,0.47,66.02,139.0
10.0,12.0,2024,0,2,60.03,208.64,39.02,59.19,0.79,37.99,163.0
24.0,4.0,2021,0,6,57.98,117.01,41.59,6.82,1.29,56.1,96.0
10.0,7.0,2021,0,6,31.78,72.43,32.48,7.86,0.71,16.44,82.0
2.0,11.0,2024,0,6,106.27,304.82,42.6,43.85,0.9,32.29,258.0
14.0,6.0,2021,0,1,44.43,100.54,66.48,8.66,0.71,34.16,88.0
18.0,6.0,2024,0,2,119.43,341.42,20.47,37.67,0.83,50.85,201.0
1.0,2.0,2023,0,3,39.98,128.57,5.42,6.4,0.69,14.93,101.0
14.0,9.0,2024,0,6,18.02,69.43,13.07,38.49,0.36,23.89,50.0
18.0,8.0,2022,0,4,24.52,57.02,37.41,26.67,0.41,44.36,48.0
7.0,5.0,2021,0,5,52.47,100.82,42.37,4.33,0.59,42.39,110.0
26.0,11.0,2021,0,5,277.22,337.28,12.56,9.3,3.07,36.52,414.0
24.0,8.0,2023,0,4,32.52,109.25,25.51,18.58,0.49,41.26,87.0
1.0,5.0,2021,0,6,75.01,238.18,46.08,10.7,1.34,69.86,214.0
31.0,8.0,2024,0,6,20.83,72.92,42.14,39.56,0.56,25.27,82.0
4.0,10.0,2021,0,1,37.73,105.88,20.43,8.79,0.61,15.15,94.0
4.0,6.0,2024,0,2,100.2,321.78,29.47,33.24,1.09,76.55,214.0
9.0,5.0,2024,0,4,86.88,180.25,14.5,29.87,0.82,95.45,180.0
5.0,4.0,2023,0,3,40.38,132.11,22.64,45.71,0.59,51.61,106.0
2.0,11.0,2021,0,2,137.05,237.8,76.1,6.4,2.58,34.32,295.0
21.0,1.0,2022,0,5,333.91,419.02,9.76,10.27,3.9,28.03,434.0
25.0,8.0,2021,0,3,45.47,141.03,32.64,7.61,0.65,44.65,108.0
27.0,2.0,2023,0,1,78.51,248.99,21.14,11.85,1.13,23.78,220.0
3.0,5.0,2024,0,5,127.5,448.43,27.06,33.22,0.95,91.32,301.0
21.0,6.0,2023,0,3,35.0,103.61,12.09,15.18,0.48,29.35,79.0
8.0,3.0,2022,0,2,145.6,237.18,43.36,5.95,0.99,12.66,282.0
1.0,9.0,2021,0,3,31.18,28.48,23.23,7.11,0.53,33.35,53.0
24.0,7.0,2022,1,7,26.14,49.86,4.25,26.09,0.39,51.79,59.0
25.0,7.0,2024,0,4,25.12,75.27,45.17,37.6,0.61,55.5,90.0
9.0,8.0,2024,0,5,13.89,50.56,33.62,35.61,0.5,32.32,52.0
7.0,3.0,2022,0,1,129.2,234.23,50.76,6.57,1.16,20.06,254.0
5.0,11.0,2022,0,6,92.46,391.37,54.99,7.22,2.0,23.34,376.0
7.0,12.0,2021,0,2,113.25,213.0,16.47,2.71,0.93,15.91,255.0
21.0,12.0,2023,0,4,104.18,394.17,73.76,21.04,1.49,32.16,327.0
19.0,9.0,2022,0,1,41.78,170.47,11.51,7.21,1.08,34.21,140.0
25.0,9.0,2022,1,7,14.36,32.02,5.46,9.62,0.42,24.61,24.0
15.0,6.0,2022,0,3,61.31,150.81,4.11,3.09,0.54,43.6,157.0
25.0,4.0,2023,0,2,40.55,169.15,25.81,48.7,0.82,91.36,198.0
9.0,7.0,2023,1,7,25.67,39.88,5.63,1.21,0.6,31.71,44.0
8.0,7.0,2024,0,1,14.12,81.54,46.24,35.67,0.69,30.27,58.0
6.0,8.0,2024,0,2,15.28,49.9,34.9,37.35,0.48,35.45,50.0
23.0,12.0,2022,0,5,71.87,273.2,44.95,5.54,1.28,42.72,236.0
10.0,12.0,2022,0,6,103.38,354.67,47.36,6.37,1.49,37.31,343.0
18.0,11.0,2022,0,5,89.22,321.54,51.54,8.89,1.21,46.32,268.0
23.0,5.0,2022,0,1,32.25,110.82,4.58,4.08,0.85,35.73,151.0
15.0,8.0,2024,1,4,15.97,57.11,44.38,35.05,0.62,27.99,68.0
11.0,7.0,2022,0,1,60.93,88.99,18.97,23.95,0.78,56.99,98.0
11.0,2.0,2022,0,5,75.33,150.38,16.52,8.6,0.58,32.35,154.0
30.0,11.0,2024,0,6,118.79,427.27,60.7,57.76,1.96,34.05,351.0
13.0,5.0,2021,0,4,46.61,83.62,35.88,5.15,0.61,54.08,105.0
31.0,5.0,2022,0,2,117.28,355.73,39.38,12.47,1.76,34.59,218.0
21.0,4.0,2023,0,5,39.82,159.12,19.52,49.52,0.59,76.06,122.0
20.0,3.0,2022,1,7,96.02,199.8,62.7,9.71,1.01,4.29,241.0
11.0,1.0,2021,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281.0
3.0,3.0,2024,1,7,42.75,177.31,26.01,26.18,0.34,28.86,126.0
4.0,3.0,2021,0,4,157.94,343.04,40.72,7.16,1.96,41.65,276.0
29.0,9.0,2024,1,7,21.07,76.13,34.51,41.16,0.37,18.7,66.0
17.0,12.0,2024,0,2,168.01,613.91,83.33,61.62,3.37,28.91,442.0
7.0,8.0,2022,1,7,60.79,90.78,8.42,26.59,0.89,47.05,127.0
11.0,5.0,2022,0,3,93.53,152.07,2.44,11.04,0.88,47.43,200.0
8.0,2.0,2022,0,2,178.34,297.03,26.78,11.34,1.37,28.58,312.0
21.0,5.0,2022,0,6,117.78,344.59,37.17,38.98,1.04,31.82,280.0
14.0,2.0,2024,0,3,98.06,369.58,38.95,22.97,1.02,27.29,324.0
21.0,10.0,2022,0,5,71.07,261.79,28.0,13.85,1.37,20.51,246.0
22.0,12.0,2021,0,3,347.83,571.69,26.87,4.85,1.91,16.85,428.0
11.0,8.0,2021,0,3,53.16,164.97,44.66,8.15,0.48,15.95,146.0
18.0,6.0,2022,0,6,35.85,54.19,4.97,3.9,0.6,46.59,65.0
19.0,5.0,2022,0,4,142.69,263.31,3.84,48.0,1.01,43.31,265.0
2.0,1.0,2022,1,7,277.7,325.39,20.99,8.06,2.99,29.64,415.0
1.0,9.0,2023,0,5,43.0,157.52,25.79,18.87,0.43,37.99,140.0
27.0,7.0,2022,0,3,28.34,57.78,6.74,27.33,0.42,52.63,55.0
7.0,4.0,2022,0,4,222.39,401.14,13.51,102.27,1.14,35.23,347.0
12.0,6.0,2022,1,7,105.02,302.97,11.21,6.31,0.66,48.77,284.0
31.0,10.0,2021,1,7,142.65,245.63,56.07,5.8,1.64,40.01,293.0
27.0,3.0,2024,0,3,74.56,170.6,20.34,23.61,0.81,43.59,175.0
18.0,4.0,2022,0,1,153.78,295.27,12.63,20.03,1.47,13.23,280.0
8.0,10.0,2022,0,6,13.0,25.73,4.28,10.51,0.39,58.1,81.0
7.0,12.0,2022,0,3,80.29,245.29,40.42,3.83,0.7,30.53,224.0
16.0,8.0,2022,0,2,22.75,49.26,37.47,26.65,0.38,44.19,47.0
25.0,3.0,2022,0,5,92.25,230.52,9.85,9.43,0.96,8.29,208.0
17.0,11.0,2024,1,7,182.69,590.39,48.73,58.89,1.75,22.67,391.0
5.0,6.0,2022,1,7,84.94,288.22,36.51,20.08,0.79,41.25,244.0
6.0,2.0,2021,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261.0
11.0,2.0,2023,0,6,85.2,298.69,17.53,13.3,1.34,22.29,278.0
16.0,11.0,2024,0,6,191.22,576.61,47.62,58.26,1.53,24.99,391.0
14.0,4.0,2023,1,5,85.21,302.34,41.73,81.19,1.15,40.19,272.0
16.0,1.0,2023,0,1,162.29,270.4,13.45,5.42,0.76,18.87,285.0
12.0,3.0,2022,0,6,83.12,178.02,31.83,8.14,0.59,11.86,181.0
25.0,11.0,2023,0,6,151.17,388.46,297.47,25.53,2.09,6.3,324.0
2.0,2.0,2022,0,3,137.15,189.65,7.76,9.79,0.31,30.13,327.0
24.0,10.0,2023,1,2,55.32,185.48,13.61,20.11,0.66,15.61,157.0
5.0,9.0,2023,0,2,33.91,105.78,22.64,19.07,0.49,63.02,103.0
22.0,9.0,2021,0,3,31.75,57.01,5.94,2.15,1.0,12.7,54.0
6.0,12.0,2024,0,5,55.49,222.89,50.54,58.59,0.96,43.59,184.0
11.0,7.0,2023,0,2,30.79,57.18,24.41,5.37,0.43,40.15,48.0
25.0,2.0,2021,0,4,193.5,352.73,89.82,4.2,2.07,27.52,337.0
21.0,1.0,2021,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328.0
13.0,10.0,2022,0,4,21.96,101.32,3.01,10.77,0.54,16.31,97.0
5.0,12.0,2023,0,2,71.74,270.14,56.79,19.91,0.93,5.67,235.0
4.0,6.0,2023,1,7,56.64,191.71,23.07,7.57,1.06,33.35,152.0
3.0,7.0,2021,0,6,39.55,136.24,36.65,6.61,0.59,46.81,140.0
